id,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
407,Firewatch,https://www.imdb.com/title/tt4785654/?ref_=adv_li_tt,2016,M,8.2,"3,782","In 1989, Henry takes a volunteer fire lookout job in the Wyoming wilderness to escape from his troubled past, only to be thrown into plethora of paranoia and mystery.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
408,Grand Theft Auto 2,https://www.imdb.com/title/tt0255202/?ref_=adv_li_tt,1999,M,7.5,"3,775","A sequel to Grand Theft Auto (1997), this game once again puts the player in the role of an aspiring thug hoping to climb to the top of the criminal world by completing missions and terrorizing the citizenry.",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
409,Fallout: A Post-Nuclear Role-Playing Game,https://www.imdb.com/title/tt0134648/?ref_=adv_li_tt,1997,M,9.2,"3,773","After being sent by the overseer of his vault to search for a new water purifying chip, the player discovers the horrors of post apocalyptic America, and the threat of the Master's Army.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
410,Fallout: A Post-Nuclear Role-Playing Game,https://www.imdb.com/title/tt0134648/?ref_=adv_li_tt,1997,M,9.2,"3,772","After being sent by the overseer of his vault to search for a new water purifying chip, the player discovers the horrors of post apocalyptic America, and the threat of the Master's Army.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
411,Need for Speed: Underground 2,https://www.imdb.com/title/tt0420798/?ref_=adv_li_tt,2004,E,8.1,"3,759","Underground 2 entails tuning cars for street races, while resuming the Need for Speed: Underground (2003) storyline. The game provides several new features, such as a broader customization, new methods of selecting races and more.",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
412,The Godfather,https://www.imdb.com/title/tt0442674/?ref_=adv_li_tt,2006,M,8.3,"3,753","Set in New York from 1945-1955, Players will join the Corleone family as ""soldiers"" and work their way up the ranks through loyalty, fear, and any number of illegal activities. The goal is to become Don of your own mafia family.",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
413,The Godfather,https://www.imdb.com/title/tt0442674/?ref_=adv_li_tt,2006,M,8.3,"3,752","Set in New York from 1945-1955, Players will join the Corleone family as ""soldiers"" and work their way up the ranks through loyalty, fear, and any number of illegal activities. The goal is to become Don of your own mafia family.",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
414,Silent Hill 3,https://www.imdb.com/title/tt0323974/?ref_=adv_li_tt,2003,M,8.7,"3,740",Heather is suddenly thrust into a strange alternate reality filled with demonic imagery and twisted monsters. She quickly comes to find that the events unfolding around her have something to do with her past.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
415,Titanfall 2,https://www.imdb.com/title/tt3612274/?ref_=adv_li_tt,2016,,8.5,"3,729","At the edge of the Frontier, a Titan and a common footsoldier are unexpectedly thrown together in a desperate attempt to prevent a catastrophic event.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
416,Titanfall 2,https://www.imdb.com/title/tt3612274/?ref_=adv_li_tt,2016,,8.5,"3,728","At the edge of the Frontier, a Titan and a common footsoldier are unexpectedly thrown together in a desperate attempt to prevent a catastrophic event.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
417,Enter the Matrix,https://www.imdb.com/title/tt0277828/?ref_=adv_li_tt,2003,T,6.9,"3,723","The game's story picks up just before The Matrix Reloaded and runs parallel to that of the film. Bend the rules of the Matrix with martial arts, pilot the fastest hovercraft in the fleet, or just fight with lots of guns.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
418,Control,https://www.imdb.com/title/tt8585800/?ref_=adv_li_tt,2019,M,8.1,"3,713","You are Jesse Faden, a young woman with a troubled past. You become the new Director of the Bureau of Control - Our frontline in researching and fighting against supernatural enemies like the Hiss threatening our very existence.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
419,Control,https://www.imdb.com/title/tt8585800/?ref_=adv_li_tt,2019,M,8.1,"3,709","You are Jesse Faden, a young woman with a troubled past. You become the new Director of the Bureau of Control - Our frontline in researching and fighting against supernatural enemies like the Hiss threatening our very existence.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
